,Organization Name,NY Reg #,EIN,Registrant Type,City,State
80,Matan Baseser Foundation,40-37-98,205125738,NFP,BROOKLYN,NY
81,"MONROE FOUNDATION, INC.",20-85-77,223236708,NFP,NEW ROCHELLE,NY
82,Nazee & Joseph Moinian Foundation,44-61-47,471035983,NFP,NEW YORK,NY
83,"Odyssey Sport Soccer Club, Inc.",41-30-39,300474221,NFP,SHERRILL,NY
84,PITTSBURGH FOUNDATION,21-31-05,250965466,NFP,PITTSBURGH,PA
85,"POETIC Foundation, Inc.",43-15-65,800688254,NFP,STATEN ISLAND,NY
86,Riley Family Foundation (20-5973514),43-23-88,205973514,NFP,NORTHPORT,NY
87,"Sacred Music Chorale of Richmond Hill, Inc.",21-27-88,113457320,NFP,RICHMOND HILL,NY
88,S G of Rockland County Inc.,45-47-77,472138530,NFP,SPRING VALLEY,NY
89,"Singer, Theodore CRUT u/a dtd. July 16, 1998",47-70-09,116502880,CRT,NO DATA AVAILABLE,
90,STONE TRUST CORPORATION,40-25-60,060552923,NFP,STAMFORD,CT
91,"Thanc Foundation, Inc.",20-66-71,800062118,NFP,NEW YORK,NY
92,THE FRED STEIN FAMILY FOUNDATION,04-01-59,133389107,NFP,HAVERFORD,PA
93,The Humanitarian Resource Foundation International Inc. D/B/A Thrfi,43-53-81,460533581,NFP,GLEN COVE,NY
94,The New School of Syracuse,42-67-44,160986798,NFP,DEWITT,NY
95,University of Virginia Health Foundtion,40-44-88,412097394,NFP,CHARLOTTESVILLE,VA
96,Violin Player,41-40-19,270773158,NFP,EAST AMHERST,NY
97,"William A. Epps Community Center, Inc.",40-91-11,861074714,NFP,STATEN ISLAND,NY
98,"WORLD SOCIETY OF CZESTOCHOWA JEWS AND THEIR DESCENDENTS, INC.",40-46-49,205101779,NFP,NEW YORK,NY
99,"Yum-O Organization, Inc.",40-50-07,208107545,NFP,NEW YORK,NY
